"filename","title","description","feature","topic","role","level"
"./metadata.md","","this is the metadata required for AEMaaCS documentation pages","","","",""
"./help/operations/TOC.md","","","Configuring","","Administrator",""
"./help/operations/home.md","Operations and Maintenance of Adobe Experience Manager as a Cloud Service","Adobe Experience Manager as a Cloud Service operations and maintenance self-help resources and documentation links","","","",""
"help/operations/indexing.md","Content Search and Indexing","Content Search and Indexing","","","",""
"help/operations/replication.md","Replication","Distribution and Troubleshooting replication.","","","",""
"help/operations/maintenance.md","Maintenance Tasks in AEM as a Cloud Service","Maintenance Tasks in AEM as a Cloud Service ","","","",""
"help/operations/backup.md","Backup and Restore in AEM as a Cloud Service","Backup and Restore in AEM as a Cloud Service ","","","",""
"help/operations/asynchronous-jobs.md","Asynchronous Jobs","Adobe Experience Manager optimizes performance by asynchronously completing some resource-intensive tasks.","","","",""
